,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Solving time in ms,Solving time in ms,Solving time in ms,Solving time in ms
,seed,NearestNeighbour,StraightPathSolver,Dijkstra,AntColony,AntColony-Error,NearestNeighbour,StraightPathSolver,Dijkstra,AntColony
0,844,102,51,51.0,51,14,1.0,2073.73,2.06,543.6
1,757,99,58,58.0,58,20,0.0,2061.92,1.0,516.62
2,420,98,48,48.0,48,17,1.99,2040.29,0.83,382.8
3,258,80,48,47.0,47,9,1.0,1921.78,1.0,392.95
4,511,61,60,60.0,60,16,1.0,1852.26,1.0,425.81
5,404,95,38,36.0,38,15,0.0,1833.0,1.5,380.49
6,783,79,42,42.0,42,21,0.0,1904.72,1.0,393.7
7,303,81,34,34.0,34,18,0.0,1910.58,1.0,417.23
8,476,200,53,53.0,53,14,1.0,1861.32,1.0,407.95
9,583,164,52,52.0,52,14,0.0,1888.84,0.95,416.93
