,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Shortest time,Solving time in ms,Solving time in ms,Solving time in ms
,maze_size,num_ants,NearestNeighbour,Dijkstra,AntColony,AntColony-Error,NearestNeighbour,Dijkstra,AntColony
0,4,16,18,18.0,18,1,0.97,0.0,104.72
1,6,24,79,33.0,33,4,1.0,0.0,245.13
2,8,32,59,37.0,37,8,0.0,1.0,472.94
3,10,40,214,57.0,57,7,0.0,1.99,790.18
4,12,48,95,54.0,55,18,1.95,1.99,755.34
5,14,56,289,71.0,72,14,0.54,3.01,1071.26
6,16,64,113,60.0,71,25,1.0,2.99,1511.01
7,18,72,404,74.0,77,34,1.99,3.99,2204.33
8,20,80,406,82.0,91,33,6.98,5.98,6610.52
9,22,88,885,93.0,117,32,4.99,6.98,9566.04
10,24,96,639,124.0,158,96,2.99,8.98,14480.88
11,26,104,404,126.0,156,86,41.02,18.03,61109.12
12,28,112,1000,138.0,199,257,8.02,11.97,28645.15
13,30,120,963,120.0,186,217,6.03,16.01,40157.9
