,NeuralNetwork,Loss,Loss,Accuracy,Accuracy,Accuracy
,0,train,validate,train,validate,test
0,ReLu_128,0.1895242354133983,0.1729648980990021,0.94475,0.9497666666666666,0.9322
1,ReLu_256,0.14070532624091764,0.11881555329580958,0.9685166666666667,0.9713,0.9383
2,ReLu_512,0.7146303166566201,0.7060809598830148,0.8418,0.8398333333333333,0.8333
3,ReLu_1024,0.9558744809323273,0.9475477466483094,0.8049,0.8059,0.8062
4,Sigmoid_128,0.12763473492887836,0.11772078358050334,0.9637166666666667,0.9672333333333333,0.952
5,Sigmoid_256,0.08648978178319403,0.07580630894577195,0.9758666666666667,0.9800333333333333,0.9585
6,Sigmoid_512,0.0481840054497933,0.04033243270347382,0.9885166666666667,0.9904833333333334,0.9582
7,Sigmoid_1024,0.021345233106301535,0.016074703919015984,0.9963166666666666,0.99755,0.9574
8,"ReLu_Sigmoid,256_128",0.09333588656612705,0.08808886386347817,0.9759166666666667,0.9767666666666667,0.9381
9,"ReLu_Sigmoid,512_128",0.07006648484232919,0.06935763314531916,0.9832,0.9821,0.94
10,"ReLu_Sigmoid,1024_128",0.058811440979918035,0.05610601656530781,0.9856833333333334,0.9857,0.9407
11,"ReLu_Sigmoid,512_256",0.043533908240099325,0.043398274508616344,0.9915166666666667,0.9903833333333333,0.9366
12,"ReLu_Sigmoid,1024_256",0.0368916380097054,0.039544337590889565,0.99295,0.9914,0.9392
13,"ReLu_Sigmoid,1024_512",0.013450228388792252,0.013424185028818434,0.9983333333333333,0.9981666666666666,0.932
14,"Sigmoid_ReLu,256_128",0.0882345460360536,0.07273801927429542,0.9754333333333334,0.9806,0.941
15,"Sigmoid_ReLu,512_128",0.05908049571503696,0.050854533363537166,0.9845666666666667,0.9860666666666666,0.9428
16,"Sigmoid_ReLu,1024_128",0.041572080301831,0.03653011362031056,0.9885333333333334,0.9890666666666666,0.9455
17,"Sigmoid_ReLu,512_256",0.03539629325867384,0.029685815929367317,0.9924166666666666,0.9932,0.9365
18,"Sigmoid_ReLu,1024_256",0.033752470522706135,0.03027844180906167,0.9918833333333333,0.9920666666666667,0.9417
19,"Sigmoid_ReLu,1024_512",0.5947375380917889,0.5478809607325074,0.88255,0.8972333333333333,0.888
20,"ReLu_ReLu,256_128",1.1363278612123147,1.1282530093333965,0.8069,0.8114333333333333,0.8159
21,"ReLu_ReLu,512_128",0.9536736232604572,0.9407576860451301,0.8475833333333334,0.8490833333333333,0.8429
22,"ReLu_ReLu,1024_128",1.0414229534843538,1.0088697418668713,0.8464,0.84925,0.848
23,"ReLu_ReLu,512_256",0.7703518614674016,0.7529046460063449,0.8943166666666666,0.8965833333333333,0.8909
24,"ReLu_ReLu,1024_256",0.7550903208670703,0.7369090153138459,0.8927833333333334,0.8955833333333333,0.89
25,"ReLu_ReLu,1024_512",0.8211062528260028,0.8019931783204997,0.8814833333333333,0.8852166666666667,0.8799
26,"Sigmoid_Sigmoid,256_128",0.06033860362307286,0.050488004272135054,0.9845833333333334,0.9883666666666666,0.9591
27,"Sigmoid_Sigmoid,512_128",0.03152283619424942,0.02496239795490354,0.9948,0.9965666666666667,0.9644
28,"Sigmoid_Sigmoid,1024_128",0.01625715190074549,0.014191396244089147,0.9985,0.9987833333333334,0.9644
29,"Sigmoid_Sigmoid,512_256",0.02169790499923133,0.01765984615378109,0.9973833333333333,0.9980166666666667,0.9634
30,"Sigmoid_Sigmoid,1024_256",0.009999088081993172,0.008661840914671577,0.9996166666666667,0.9997666666666667,0.9632
31,"Sigmoid_Sigmoid,1024_512",0.0056474127334879545,0.004784292121411088,0.9999166666666667,0.9999333333333333,0.9609
