,NeuralNetwork,Loss,Loss,Accuracy,Accuracy,Accuracy
,0,train,validate,train,validate,test
0,ReLu_8,0.2987650223555372,0.2937071663823314,0.9103666666666667,0.9118666666666667,0.9126
1,ReLu_16,0.20388852352188921,0.19832958249249144,0.9394666666666667,0.94185,0.9362
2,ReLu_32,0.14258013097437638,0.13744468034889515,0.9590833333333333,0.9606166666666667,0.9475
3,ReLu_64,0.10706753158657806,0.10039352355683537,0.96835,0.9706833333333333,0.9529
4,Sigmoid_8,0.35417317060353626,0.34920452153428705,0.8988666666666667,0.9008833333333334,0.902
5,Sigmoid_16,0.21626674995612435,0.21156761614981445,0.9387833333333333,0.9401333333333334,0.9326
6,Sigmoid_32,0.13425300335619553,0.12936448400039063,0.96125,0.9629666666666666,0.9498
7,Sigmoid_64,0.09387628526583436,0.0888048777491391,0.9745,0.9761833333333333,0.957
8,"ReLu_Sigmoid,16_8",0.22936127982886054,0.22335207599237003,0.9399166666666666,0.9421,0.93
9,"ReLu_Sigmoid,32_8",0.16281552433440388,0.1588882756426634,0.95895,0.95935,0.9434
10,"ReLu_Sigmoid,64_8",0.1119030297164658,0.1080429523279711,0.97245,0.9736666666666667,0.954
11,"ReLu_Sigmoid,32_16",0.1295725968720865,0.12527739825829262,0.96295,0.96415,0.948
12,"ReLu_Sigmoid,64_16",0.09491227799109209,0.09070013824123842,0.9744666666666667,0.9751666666666666,0.9541
13,"ReLu_Sigmoid,64_32",0.09090728661042312,0.08974007197512905,0.97575,0.9749333333333333,0.9534
14,"Sigmoid_ReLu,16_8",0.21598318966295216,0.210625077437798,0.9396666666666667,0.942,0.9343
15,"Sigmoid_ReLu,32_8",0.13182154850230002,0.12655644788125447,0.9627666666666667,0.96415,0.9435
16,"Sigmoid_ReLu,64_8",0.08060153252608013,0.07500930769635668,0.9782666666666666,0.9800666666666666,0.9556
17,"Sigmoid_ReLu,32_16",0.11728259311669482,0.11140685295849785,0.9659333333333333,0.9675666666666667,0.9513
18,"Sigmoid_ReLu,64_16",0.07532355173995434,0.06998847137886596,0.9792666666666666,0.9804833333333334,0.9567
19,"Sigmoid_ReLu,64_32",0.06153930246165076,0.05732144755945461,0.9835,0.9849,0.9616
20,"ReLu_ReLu,16_8",0.24442956848677425,0.23730524830982308,0.9279,0.9308666666666666,0.9262
21,"ReLu_ReLu,32_8",0.17783049405661974,0.1711853787383736,0.9497666666666666,0.9511,0.9423
22,"ReLu_ReLu,64_8",1.7541372944341556,1.8859587000966282,0.8214166666666667,0.8289,0.829
23,"ReLu_ReLu,32_16",0.1965607151569315,0.18851532410646515,0.9425833333333333,0.9449166666666666,0.9329
24,"ReLu_ReLu,64_16",0.13813244424123775,0.12924179764047303,0.96085,0.9632833333333334,0.9436
25,"ReLu_ReLu,64_32",0.15920256377371383,0.15106583550128874,0.9537666666666667,0.9556,0.938
26,"Sigmoid_Sigmoid,16_8",0.27055435880337153,0.26450543821493677,0.9284333333333333,0.92985,0.9286
27,"Sigmoid_Sigmoid,32_8",0.15049770050564817,0.14519230441633005,0.95915,0.9608333333333333,0.9445
28,"Sigmoid_Sigmoid,64_8",0.09979435012138853,0.09444875239436758,0.9757,0.9772333333333333,0.9562
29,"Sigmoid_Sigmoid,32_16",0.13350934166516865,0.12857517371622285,0.9626166666666667,0.96405,0.9477
30,"Sigmoid_Sigmoid,64_16",0.08041297543803783,0.07626248166487357,0.9790166666666666,0.9799333333333333,0.9602
31,"Sigmoid_Sigmoid,64_32",0.06896759623777562,0.06649002813502942,0.98175,0.9819666666666667,0.9603
